id_lista,nombre_representante,distrito_familia,producto,cantidad,prioridad,precio_soles,nombre_tienda,tipo,distrito_tienda,fecha
1,Kevin Pardo,Miraflores,Arroz (kg),2.0,Alta,4.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-26
1,Kevin Pardo,Miraflores,Arroz (kg),2.0,Alta,3.9,Mercado Central SMP,Mercado,SMP,2025-09-26
2,Kevin Pardo,Miraflores,Leche evaporada 400g,4.0,Media,3.5,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-26
2,Kevin Pardo,Miraflores,Leche evaporada 400g,4.0,Media,3.1,Mercado Central SMP,Mercado,SMP,2025-09-26
3,Kevin Pardo,Miraflores,Pechuga de pollo (kg),1.5,Alta,12.0,Tottus San Isidro,Supermercado,San Isidro,2025-09-26
3,Kevin Pardo,Miraflores,Pechuga de pollo (kg),1.5,Alta,10.5,Mercado Central SMP,Mercado,SMP,2025-09-26
4,María Quispe,San Martín de Porres,Plátano (kg),3.0,Alta,2.8,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-26
4,María Quispe,San Martín de Porres,Plátano (kg),3.0,Alta,2.5,Mercado Central SMP,Mercado,SMP,2025-09-26
5,María Quispe,San Martín de Porres,Detergente líquido 1L,1.0,Baja,8.0,Bodega La Esquina,Bodega,Miraflores,2025-09-26
6,José Alvarez,SMP,Papa (kg),2.5,Media,4.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-25
1,Kevin Pardo,Miraflores,Arroz (kg),2.0,Alta,4.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-26
1,Kevin Pardo,Miraflores,Arroz (kg),2.0,Alta,3.9,Mercado Central SMP,Mercado,SMP,2025-09-26
2,Kevin Pardo,Miraflores,Leche evaporada 400g,4.0,Media,3.5,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-26
2,Kevin Pardo,Miraflores,Leche evaporada 400g,4.0,Media,3.1,Mercado Central SMP,Mercado,SMP,2025-09-26
3,Kevin Pardo,Miraflores,Pechuga de pollo (kg),1.5,Alta,12.0,Tottus San Isidro,Supermercado,San Isidro,2025-09-26
3,Kevin Pardo,Miraflores,Pechuga de pollo (kg),1.5,Alta,10.5,Mercado Central SMP,Mercado,SMP,2025-09-26
4,María Quispe,San Martín de Porres,Plátano (kg),3.0,Alta,2.8,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-26
4,María Quispe,San Martín de Porres,Plátano (kg),3.0,Alta,2.5,Mercado Central SMP,Mercado,SMP,2025-09-26
5,María Quispe,San Martín de Porres,Detergente líquido 1L,1.0,Baja,8.0,Bodega La Esquina,Bodega,Miraflores,2025-09-26
6,Luis Ramírez,Surco,Tomate (kg),2.0,Alta,4.0,Wong Surco,Supermercado,Surco,2025-09-26
6,Luis Ramírez,Surco,Tomate (kg),2.0,Alta,3.6,Mercado Surco,Mercado,Surco,2025-09-26
7,Ana Torres,Comas,Pan francés (unidad),10.0,Media,0.25,Bodega San Pedro,Bodega,Comas,2025-09-26
8,Ana Torres,Comas,Yogurt 1L,2.0,Alta,6.5,Tottus San Juan,Supermercado,San Juan de Lurigancho,2025-09-26
9,Jorge Medina,San Borja,Naranja (kg),2.5,Media,3.2,Plaza Vea San Borja,Supermercado,San Borja,2025-09-26
9,Jorge Medina,San Borja,Naranja (kg),2.5,Media,2.9,Mercado San Borja,Mercado,San Borja,2025-09-26
16,Kevin Pardo,Miraflores,Arroz (kg),2.0,Alta,4.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-09-26
16,Kevin Pardo,Miraflores,Arroz (kg),2.0,Alta,3.9,Mercado Central SMP,Mercado,San Martín de Porres,2025-09-26
10,Ana Torres,Pueblo Libre,Pasta (paquete),3.0,Baja,3.0,Tottus Jesús María,Supermercado,Jesús María,2025-09-24
10,Ana Torres,Pueblo Libre,Pasta (paquete),3.0,Baja,2.8,Mercado Central SMP,Mercado,San Martín de Porres,2025-09-24
100,Carlos López,San Borja,Jugo (litro),2.0,Media,5.2,Bodega La Esquina,Bodega,Miraflores,2025-08-24
101,Laura Sánchez,Lince,Café (paquete),1.0,Alta,14.6,Tottus Jesús María,Supermercado,Jesús María,2025-08-24
102,Kevin Pardo,Miraflores,Té (paquete),1.0,Baja,3.2,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-23
103,María Quispe,San Martín de Porres,Harina (kg),2.0,Media,3.9,Mercado Central SMP,Mercado,San Martín de Porres,2025-08-23
104,José García,San Isidro,Sal (kg),1.0,Alta,1.2,Wong San Isidro,Supermercado,San Isidro,2025-08-23
105,Ana Torres,Pueblo Libre,Mayonesa (frasco),1.0,Baja,5.7,Metro San Borja,Supermercado,San Borja,2025-08-22
106,Carlos López,San Borja,Ketchup (frasco),1.0,Media,4.7,Vivanda La Molina,Supermercado,La Molina,2025-08-22
107,Laura Sánchez,Lince,Lentejas (kg),2.0,Alta,4.5,Tottus Lince,Supermercado,Lince,2025-08-22
108,Kevin Pardo,Miraflores,Shampoo (frasco),1.0,Baja,11.6,Plaza Vea Miraflores,Supermercado,Miraflores,2025-08-21
